address,rent,where_in_isreal,enterrance_date,propery_type,floor,rooms
נשר - עמוס,"1,790 ₪",דירות בחיפה והסביבה,מיידי,דירה,14,1
הוד השרון - הגאולה,"5,000 ₪",דירות בהוד השרון והסביבה,01.01.18,דירה,3,5
חריש - גפן,"2,400 ₪",דירות ברמת מנשה,מיידי,דירה,3,4
רמת גן - מוריה,"5,500 ₪",דירות ברמת גן - גבעתיים,12.12.17,דירה,1,4
ירושלים - חוזה סן מרטין,"3,500 ₪",דירות בירושלים,30.11.17,דירה,3,3
עפולה - וולפסון,"2,100 ₪",דירות בעפולה והעמקים,מיידי,דירה,3,3
באר שבע - המלכים,"4,400 ₪",דירות בבאר שבע והסביבה,18.10.17,דירה,קרקע,4
נשר - דרך הטכניון,"2,800 ₪",דירות בחיפה והסביבה,מיידי,דירה,3,3.5
נשר - יפה נוף,"2,500 ₪",דירות בחיפה והסביבה,מיידי,דירה,קרקע,2
חריש - תמר,"2,500 ₪",דירות ברמת מנשה,מיידי,דירה,2,4
תל אביב יפו - בירנית,"5,000 ₪",דירות בתל אביב,01.12.17,דירה,2,4
הרצליה - הצדף,"4,500 $",דירות ברמת השרון - הרצליה,מיידי,דירה,14,3
קרית שמונה - בבא סאלי,"1,800 ₪",דירות בראש פינה החולה,מיידי,דירה,2,4
טבריה - השומר,"1,950 ₪",דירות בהכנרת והסביבה,מיידי,דירה,5,2
ירושלים - ברניקי,"3,000 ₪",דירות בירושלים,מיידי,דירה,2,3
חדרה - חי טייב,"2,450 ₪",דירות בחדרה והסביבה,01.01.18,דירה,קרקע,2
תל אביב יפו - ברנפלד,"5,000 ₪",דירות בתל אביב,מיידי,דירה,1,2
עפולה - יהושע חנקין,"2,400 ₪",דירות בעפולה והעמקים,מיידי,דירה,3,4
תל אביב יפו - בית אל,"6,900 ₪",דירות בתל אביב,20.12.17,דירה,14,4
תל אביב יפו - צביה לובטקין,"3,800 ₪",דירות בתל אביב,מיידי,דירה,קרקע,2
(ללא תיווך/משופצת/מרו...,הום דוט קום,תל אביב יפו - אלנבי,2,סאבלט,02.01.18,"5,300 ₪"
הומלנד - בית ממכר נכסים,"9,500 ₪",תל אביב יפו - ניסים אלוני (115029),,דירה,11,3
הומלנד - בית ממכר נכסים,"12,800 ₪",תל אביב יפו - פוריה,02.11.17,גג/פנטהאוז,4,3
(נווה שרת דירה מו...,TLV נכסים,תל אביב יפו - אח''י דקר,5,דירה,03.12.17,"6,800 ₪"
(4 חד׳ ענקית 107 ...,SHTUREM R.E סניף השוק הסיטונאי,תל אביב יפו - החשמונאים,4,דירה,מיידי,"7,000 ₪"
מאיר,"8,200 ₪",תל אביב יפו - יונה הנביא (חדשה חניה מחסן),מיידי,דירה,1,3
OREN REAL ESTATE,"6,900 ₪",הרצליה - הנשיא יצחק בן צבי,מיידי,דירה,3,3
"(55 מ""ר, 2 חדרי...",עזרא-נכסים,תל אביב יפו - יהודה המכבי,2,דירה,מיידי,"5,200 ₪"
רימקס אושן,"6,200 ₪","תל אביב יפו - אפטר (מיידי, 3, מרפסת שמש)",מיידי,דירה,3,3
(מגדלי שרונה ...,SHTUREM R.E סניף השוק הסיטונאי,תל אביב יפו - אלוף קלמן מגן,4,דירה,מיידי,"9,000 ₪"
"דגנית אופק נדל""ן","9,200 ₪",תל אביב יפו - פראג,31.12.17,דירה,2,3
הנדלן שלי המשרד לשיווק נכסים,"2,550 ₪",יציץ (יחידת יור עם חצר),מיידי,יחידת דיור,קרקע,1.5
(שקט ירוק עם חצר פרטית),My Homes,רמת גן - גולני,4,פרטי/קוטג',מיידי,"9,000 ₪"
(משו...,Assaf Rozio-סניף השוק הסיטונאי,"תל אביב יפו - גני שרונה, קרית הממשלה",2.5,דירה,02.11.18,"6,300 ₪"
הום דוט קום,"5,800 ₪",תל אביב יפו - צייטלין (דופלקס מטורף!!),מיידי,דירה,6,2
COLLECTION קנדה ישראל,"8,000 ₪",תל אביב יפו - דרך מנחם בגין (מידטאון תל אביב),01.04.18,דירה,20+,3
שיין נדלן,"5,800 ₪",רמת השרון - הנרייטה סולד,מיידי,דירה,1,4
(משווק בלעדי במתח...,Assaf Rozio-סניף השוק הסיטונאי,תל אביב יפו - החשמונאים,3.5,דירה,10.11.18,"6,400 ₪"
"אור הנדל""ן","4,700 ₪",אשדוד - שבט נפתלי (במיקום מרכזי),01.01.18,דירה,4,4
,"2,700 ₪",חיפה - מחניים (דירה בלב מרכז הכרמל),מיידי,דירה,2,2.5
floor,where_in_isreal,rent,rooms,propery_type,address,enterrance_date
14,דירות בחיפה והסביבה,"1,790 ₪",1,דירה,נשר - עמוס,מיידי
3,דירות בהוד השרון והסביבה,"5,000 ₪",5,דירה,הוד השרון - הגאולה,01.01.18
3,דירות ברמת מנשה,"2,400 ₪",4,דירה,חריש - גפן,מיידי
1,דירות ברמת גן - גבעתיים,"5,500 ₪",4,דירה,רמת גן - מוריה,12.12.17
3,דירות בירושלים,"3,500 ₪",3,דירה,ירושלים - חוזה סן מרטין,30.11.17
3,דירות בעפולה והעמקים,"2,100 ₪",3,דירה,עפולה - וולפסון,מיידי
קרקע,דירות בבאר שבע והסביבה,"4,400 ₪",4,דירה,באר שבע - המלכים,18.10.17
3,דירות בחיפה והסביבה,"2,800 ₪",3.5,דירה,נשר - דרך הטכניון,מיידי
קרקע,דירות בחיפה והסביבה,"2,500 ₪",2,דירה,נשר - יפה נוף,מיידי
2,דירות ברמת מנשה,"2,500 ₪",4,דירה,חריש - תמר,מיידי
2,דירות בתל אביב,"5,000 ₪",4,דירה,תל אביב יפו - בירנית,01.12.17
14,דירות ברמת השרון - הרצליה,"4,500 $",3,דירה,הרצליה - הצדף,מיידי
2,דירות בראש פינה החולה,"1,800 ₪",4,דירה,קרית שמונה - בבא סאלי,מיידי
5,דירות בהכנרת והסביבה,"1,950 ₪",2,דירה,טבריה - השומר,מיידי
2,דירות בירושלים,"3,000 ₪",3,דירה,ירושלים - ברניקי,מיידי
קרקע,דירות בחדרה והסביבה,"2,450 ₪",2,דירה,חדרה - חי טייב,01.01.18
1,דירות בתל אביב,"5,000 ₪",2,דירה,תל אביב יפו - ברנפלד,מיידי
3,דירות בעפולה והעמקים,"2,400 ₪",4,דירה,עפולה - יהושע חנקין,מיידי
14,דירות בתל אביב,"6,900 ₪",4,דירה,תל אביב יפו - בית אל,20.12.17
קרקע,דירות בתל אביב,"3,800 ₪",2,דירה,תל אביב יפו - צביה לובטקין,מיידי
6,תל אביב יפו - צייטלין (דופלקס מטורף!!),"5,800 ₪",2,דירה,הום דוט קום,מיידי
20+,תל אביב יפו - דרך מנחם בגין (מידטאון תל אביב),"8,000 ₪",3,דירה,COLLECTION קנדה ישראל,01.04.18
1,רמת השרון - הנרייטה סולד,"5,800 ₪",4,דירה,שיין נדלן,מיידי
10.11.18,תל אביב יפו - החשמונאים,Assaf Rozio-סניף השוק הסיטונאי,"6,400 ₪",דירה,(משווק בלעדי במתח...,3.5
4,אשדוד - שבט נפתלי (במיקום מרכזי),"4,700 ₪",4,דירה,"אור הנדל""ן",01.01.18
2,חיפה - מחניים (דירה בלב מרכז הכרמל),"2,700 ₪",2.5,דירה,,מיידי
27.11.17,תל אביב יפו - החשמונאים,SHTUREM R.E סניף השוק הסיטונאי,"9,500 ₪",דירה,(נוף מדהים - פשוט...,5
2,רמת גן - אריה בן אליעזר (בסמיכות למרום נווה),"3,800 ₪",2.5,דירה,גלובל נכסים,11.12.17
,סביון - סביון,"""אל-הנכס"" סביון בקעת אונו","21,500 ₪",פרטי/קוטג',(יגאל רודה מומחה לבתי יוקרה...,6
1,פרדס חנה כרכור - חלומות (כרכור),"5,500 ₪",5,פרטי/קוטג',אקסלנט נדלן EXCELLENT PROPERTY,
1,גבעתיים - חביבה רייק (משופצת),"5,400 ₪",3,דירה,PTK נכסים,15.01.18
27.06.17,"תל אביב יפו - צמרות איילון, פארק צמרת",COLLECTION קנדה ישראל,"11,800 ₪",דירה,(w ...,4
7,תל אביב יפו - יוניצמן,"8,500 ₪",3,דירה,קנובלר נכסים,מיידי
2,קיסריה - הציפורים (קיסריה),"14,000 ₪",7,פרטי/קוטג',אקסלנט נדלן EXCELLENT PROPERTY,
2,תל אביב יפו - שמעון התרסי (ליד ככר הייל),"7,000 ₪",2,דירה,בני & צ'יריץ',מיידי
5,תל אביב יפו - אבא קובנר,"8,200 ₪",4,דירה,אלנבי בלב,15.12.17
3,תל אביב יפו - אלקחי (בית פרטי שקט),"22,000 ₪",8,פרטי/קוטג',תיווך רמת אביב,02.12.18
1,תל אביב יפו - בנימין מטודלה,"8,200 ₪",5,דירה,רני נכסים,מיידי
,תל אביב יפו - קרליבך,אוקשן האוס,"7,500 ₪",דירה,(מציאה! חדש מעלית חנ...,4
6,תל אביב יפו - יבנה (מיקום מושלם),"15,000 ₪",5,דירה,IDAN SHALEV,מיידי
rooms,where_in_isreal,rent,propery_type,floor,address,enterrance_date
1,דירות בחיפה והסביבה,"1,790 ₪",דירה,14,נשר - עמוס,מיידי
5,דירות בהוד השרון והסביבה,"5,000 ₪",דירה,3,הוד השרון - הגאולה,01.01.18
4,דירות ברמת מנשה,"2,400 ₪",דירה,3,חריש - גפן,מיידי
4,דירות ברמת גן - גבעתיים,"5,500 ₪",דירה,1,רמת גן - מוריה,12.12.17
3,דירות בירושלים,"3,500 ₪",דירה,3,ירושלים - חוזה סן מרטין,30.11.17
3,דירות בעפולה והעמקים,"2,100 ₪",דירה,3,עפולה - וולפסון,מיידי
4,דירות בבאר שבע והסביבה,"4,400 ₪",דירה,קרקע,באר שבע - המלכים,18.10.17
3.5,דירות בחיפה והסביבה,"2,800 ₪",דירה,3,נשר - דרך הטכניון,מיידי
2,דירות בחיפה והסביבה,"2,500 ₪",דירה,קרקע,נשר - יפה נוף,מיידי
4,דירות ברמת מנשה,"2,500 ₪",דירה,2,חריש - תמר,מיידי
4,דירות בתל אביב,"5,000 ₪",דירה,2,תל אביב יפו - בירנית,01.12.17
3,דירות ברמת השרון - הרצליה,"4,500 $",דירה,14,הרצליה - הצדף,מיידי
4,דירות בראש פינה החולה,"1,800 ₪",דירה,2,קרית שמונה - בבא סאלי,מיידי
2,דירות בהכנרת והסביבה,"1,950 ₪",דירה,5,טבריה - השומר,מיידי
3,דירות בירושלים,"3,000 ₪",דירה,2,ירושלים - ברניקי,מיידי
2,דירות בחדרה והסביבה,"2,450 ₪",דירה,קרקע,חדרה - חי טייב,01.01.18
2,דירות בתל אביב,"5,000 ₪",דירה,1,תל אביב יפו - ברנפלד,מיידי
4,דירות בעפולה והעמקים,"2,400 ₪",דירה,3,עפולה - יהושע חנקין,מיידי
4,דירות בתל אביב,"6,900 ₪",דירה,14,תל אביב יפו - בית אל,20.12.17
2,דירות בתל אביב,"3,800 ₪",דירה,קרקע,תל אביב יפו - צביה לובטקין,מיידי
"5,300 ₪",תל אביב יפו - אלנבי,הום דוט קום,סאבלט,02.01.18,(ללא תיווך/משופצת/מרו...,2
3,תל אביב יפו - ניסים אלוני (115029),"9,500 ₪",דירה,11,הומלנד - בית ממכר נכסים,
3,תל אביב יפו - פוריה,"12,800 ₪",גג/פנטהאוז,4,הומלנד - בית ממכר נכסים,02.11.17
"6,800 ₪",תל אביב יפו - אח''י דקר,TLV נכסים,דירה,03.12.17,(נווה שרת דירה מו...,5
"7,000 ₪",תל אביב יפו - החשמונאים,SHTUREM R.E סניף השוק הסיטונאי,דירה,מיידי,(4 חד׳ ענקית 107 ...,4
3,תל אביב יפו - יונה הנביא (חדשה חניה מחסן),"8,200 ₪",דירה,1,מאיר,מיידי
3,הרצליה - הנשיא יצחק בן צבי,"6,900 ₪",דירה,3,OREN REAL ESTATE,מיידי
"5,200 ₪",תל אביב יפו - יהודה המכבי,עזרא-נכסים,דירה,מיידי,"(55 מ""ר, 2 חדרי...",2
3,"תל אביב יפו - אפטר (מיידי, 3, מרפסת שמש)","6,200 ₪",דירה,3,רימקס אושן,מיידי
"9,000 ₪",תל אביב יפו - אלוף קלמן מגן,SHTUREM R.E סניף השוק הסיטונאי,דירה,מיידי,(מגדלי שרונה ...,4
3,תל אביב יפו - פראג,"9,200 ₪",דירה,2,"דגנית אופק נדל""ן",31.12.17
1.5,יציץ (יחידת יור עם חצר),"2,550 ₪",יחידת דיור,קרקע,הנדלן שלי המשרד לשיווק נכסים,מיידי
"9,000 ₪",רמת גן - גולני,My Homes,פרטי/קוטג',מיידי,(שקט ירוק עם חצר פרטית),4
"6,300 ₪","תל אביב יפו - גני שרונה, קרית הממשלה",Assaf Rozio-סניף השוק הסיטונאי,דירה,02.11.18,(משו...,2.5
2,תל אביב יפו - צייטלין (דופלקס מטורף!!),"5,800 ₪",דירה,6,הום דוט קום,מיידי
3,תל אביב יפו - דרך מנחם בגין (מידטאון תל אביב),"8,000 ₪",דירה,20+,COLLECTION קנדה ישראל,01.04.18
4,רמת השרון - הנרייטה סולד,"5,800 ₪",דירה,1,שיין נדלן,מיידי
"6,400 ₪",תל אביב יפו - החשמונאים,Assaf Rozio-סניף השוק הסיטונאי,דירה,10.11.18,(משווק בלעדי במתח...,3.5
4,אשדוד - שבט נפתלי (במיקום מרכזי),"4,700 ₪",דירה,4,"אור הנדל""ן",01.01.18
2.5,חיפה - מחניים (דירה בלב מרכז הכרמל),"2,700 ₪",דירה,2,,מיידי
rooms,propery_type,rent,address,floor,where_in_isreal,enterrance_date
5,דירה,"5,000 ₪",הוד השרון - הגאולה,3,דירות בהוד השרון והסביבה,01.01.18
4,דירה,"2,400 ₪",חריש - גפן,3,דירות ברמת מנשה,מיידי
4,דירה,"5,500 ₪",רמת גן - מוריה,1,דירות ברמת גן - גבעתיים,12.12.17
3,דירה,"3,500 ₪",ירושלים - חוזה סן מרטין,3,דירות בירושלים,30.11.17
3,דירה,"2,100 ₪",עפולה - וולפסון,3,דירות בעפולה והעמקים,מיידי
4,דירה,"4,400 ₪",באר שבע - המלכים,קרקע,דירות בבאר שבע והסביבה,18.10.17
3.5,דירה,"2,800 ₪",נשר - דרך הטכניון,3,דירות בחיפה והסביבה,מיידי
2,דירה,"2,500 ₪",נשר - יפה נוף,קרקע,דירות בחיפה והסביבה,מיידי
4,דירה,"2,500 ₪",חריש - תמר,2,דירות ברמת מנשה,מיידי
4,דירה,"5,000 ₪",תל אביב יפו - בירנית,2,דירות בתל אביב,01.12.17
3,דירה,"4,500 $",הרצליה - הצדף,14,דירות ברמת השרון - הרצליה,מיידי
4,דירה,"1,800 ₪",קרית שמונה - בבא סאלי,2,דירות בראש פינה החולה,מיידי
2,דירה,"1,950 ₪",טבריה - השומר,5,דירות בהכנרת והסביבה,מיידי
3,דירה,"3,000 ₪",ירושלים - ברניקי,2,דירות בירושלים,מיידי
2,דירה,"2,450 ₪",חדרה - חי טייב,קרקע,דירות בחדרה והסביבה,01.01.18
2,דירה,"5,000 ₪",תל אביב יפו - ברנפלד,1,דירות בתל אביב,מיידי
4,דירה,"2,400 ₪",עפולה - יהושע חנקין,3,דירות בעפולה והעמקים,מיידי
4,דירה,"6,900 ₪",תל אביב יפו - בית אל,14,דירות בתל אביב,20.12.17
2,דירה,"3,800 ₪",תל אביב יפו - צביה לובטקין,קרקע,דירות בתל אביב,מיידי
4,דירה,"6,000 ₪",רמת גן - אלוף הניצחון,2,דירות ברמת גן - גבעתיים,01.01.18
2,דירה,"5,800 ₪",הום דוט קום,6,תל אביב יפו - צייטלין (דופלקס מטורף!!),מיידי
3,דירה,"8,000 ₪",COLLECTION קנדה ישראל,20+,תל אביב יפו - דרך מנחם בגין (מידטאון תל אביב),01.04.18
4,דירה,"5,800 ₪",שיין נדלן,1,רמת השרון - הנרייטה סולד,מיידי
"6,400 ₪",דירה,Assaf Rozio-סניף השוק הסיטונאי,(משווק בלעדי במתח...,10.11.18,תל אביב יפו - החשמונאים,3.5
4,דירה,"4,700 ₪","אור הנדל""ן",4,אשדוד - שבט נפתלי (במיקום מרכזי),01.01.18
2.5,דירה,"2,700 ₪",,2,חיפה - מחניים (דירה בלב מרכז הכרמל),מיידי
"9,500 ₪",דירה,SHTUREM R.E סניף השוק הסיטונאי,(נוף מדהים - פשוט...,27.11.17,תל אביב יפו - החשמונאים,5
2.5,דירה,"3,800 ₪",גלובל נכסים,2,רמת גן - אריה בן אליעזר (בסמיכות למרום נווה),11.12.17
"21,500 ₪",פרטי/קוטג',"""אל-הנכס"" סביון בקעת אונו",(יגאל רודה מומחה לבתי יוקרה...,,סביון - סביון,6
5,פרטי/קוטג',"5,500 ₪",אקסלנט נדלן EXCELLENT PROPERTY,1,פרדס חנה כרכור - חלומות (כרכור),
3,דירה,"5,400 ₪",PTK נכסים,1,גבעתיים - חביבה רייק (משופצת),15.01.18
"11,800 ₪",דירה,COLLECTION קנדה ישראל,(w ...,27.06.17,"תל אביב יפו - צמרות איילון, פארק צמרת",4
3,דירה,"8,500 ₪",קנובלר נכסים,7,תל אביב יפו - יוניצמן,מיידי
7,פרטי/קוטג',"14,000 ₪",אקסלנט נדלן EXCELLENT PROPERTY,2,קיסריה - הציפורים (קיסריה),
2,דירה,"7,000 ₪",בני & צ'יריץ',2,תל אביב יפו - שמעון התרסי (ליד ככר הייל),מיידי
4,דירה,"8,200 ₪",אלנבי בלב,5,תל אביב יפו - אבא קובנר,15.12.17
8,פרטי/קוטג',"22,000 ₪",תיווך רמת אביב,3,תל אביב יפו - אלקחי (בית פרטי שקט),02.12.18
5,דירה,"8,200 ₪",רני נכסים,1,תל אביב יפו - בנימין מטודלה,מיידי
"7,500 ₪",דירה,אוקשן האוס,(מציאה! חדש מעלית חנ...,,תל אביב יפו - קרליבך,4
5,דירה,"15,000 ₪",IDAN SHALEV,6,תל אביב יפו - יבנה (מיקום מושלם),מיידי
rent,enterrance_date,floor,propery_type,rooms,address,where_in_isreal
"1,790 ₪",מיידי,14,דירה,1,נשר - עמוס,דירות בחיפה והסביבה
"5,000 ₪",01.01.18,3,דירה,5,הוד השרון - הגאולה,דירות בהוד השרון והסביבה
"2,400 ₪",מיידי,3,דירה,4,חריש - גפן,דירות ברמת מנשה
"5,500 ₪",12.12.17,1,דירה,4,רמת גן - מוריה,דירות ברמת גן - גבעתיים
"3,500 ₪",30.11.17,3,דירה,3,ירושלים - חוזה סן מרטין,דירות בירושלים
"2,100 ₪",מיידי,3,דירה,3,עפולה - וולפסון,דירות בעפולה והעמקים
"4,400 ₪",18.10.17,קרקע,דירה,4,באר שבע - המלכים,דירות בבאר שבע והסביבה
"2,800 ₪",מיידי,3,דירה,3.5,נשר - דרך הטכניון,דירות בחיפה והסביבה
"2,500 ₪",מיידי,קרקע,דירה,2,נשר - יפה נוף,דירות בחיפה והסביבה
"2,500 ₪",מיידי,2,דירה,4,חריש - תמר,דירות ברמת מנשה
"5,000 ₪",01.12.17,2,דירה,4,תל אביב יפו - בירנית,דירות בתל אביב
"4,500 $",מיידי,14,דירה,3,הרצליה - הצדף,דירות ברמת השרון - הרצליה
"1,800 ₪",מיידי,2,דירה,4,קרית שמונה - בבא סאלי,דירות בראש פינה החולה
"1,950 ₪",מיידי,5,דירה,2,טבריה - השומר,דירות בהכנרת והסביבה
"3,000 ₪",מיידי,2,דירה,3,ירושלים - ברניקי,דירות בירושלים
"2,450 ₪",01.01.18,קרקע,דירה,2,חדרה - חי טייב,דירות בחדרה והסביבה
"5,000 ₪",מיידי,1,דירה,2,תל אביב יפו - ברנפלד,דירות בתל אביב
"2,400 ₪",מיידי,3,דירה,4,עפולה - יהושע חנקין,דירות בעפולה והעמקים
"6,900 ₪",20.12.17,14,דירה,4,תל אביב יפו - בית אל,דירות בתל אביב
"3,800 ₪",מיידי,קרקע,דירה,2,תל אביב יפו - צביה לובטקין,דירות בתל אביב
"5,800 ₪",מיידי,6,דירה,2,הום דוט קום,תל אביב יפו - צייטלין (דופלקס מטורף!!)
"8,000 ₪",01.04.18,20+,דירה,3,COLLECTION קנדה ישראל,תל אביב יפו - דרך מנחם בגין (מידטאון תל אביב)
"5,800 ₪",מיידי,1,דירה,4,שיין נדלן,רמת השרון - הנרייטה סולד
Assaf Rozio-סניף השוק הסיטונאי,3.5,10.11.18,דירה,"6,400 ₪",(משווק בלעדי במתח...,תל אביב יפו - החשמונאים
"4,700 ₪",01.01.18,4,דירה,4,"אור הנדל""ן",אשדוד - שבט נפתלי (במיקום מרכזי)
"2,700 ₪",מיידי,2,דירה,2.5,,חיפה - מחניים (דירה בלב מרכז הכרמל)
SHTUREM R.E סניף השוק הסיטונאי,5,27.11.17,דירה,"9,500 ₪",(נוף מדהים - פשוט...,תל אביב יפו - החשמונאים
"3,800 ₪",11.12.17,2,דירה,2.5,גלובל נכסים,רמת גן - אריה בן אליעזר (בסמיכות למרום נווה)
"""אל-הנכס"" סביון בקעת אונו",6,,פרטי/קוטג',"21,500 ₪",(יגאל רודה מומחה לבתי יוקרה...,סביון - סביון
"5,500 ₪",,1,פרטי/קוטג',5,אקסלנט נדלן EXCELLENT PROPERTY,פרדס חנה כרכור - חלומות (כרכור)
"5,400 ₪",15.01.18,1,דירה,3,PTK נכסים,גבעתיים - חביבה רייק (משופצת)
COLLECTION קנדה ישראל,4,27.06.17,דירה,"11,800 ₪",(w ...,"תל אביב יפו - צמרות איילון, פארק צמרת"
"8,500 ₪",מיידי,7,דירה,3,קנובלר נכסים,תל אביב יפו - יוניצמן
"14,000 ₪",,2,פרטי/קוטג',7,אקסלנט נדלן EXCELLENT PROPERTY,קיסריה - הציפורים (קיסריה)
"7,000 ₪",מיידי,2,דירה,2,בני & צ'יריץ',תל אביב יפו - שמעון התרסי (ליד ככר הייל)
"8,200 ₪",15.12.17,5,דירה,4,אלנבי בלב,תל אביב יפו - אבא קובנר
"22,000 ₪",02.12.18,3,פרטי/קוטג',8,תיווך רמת אביב,תל אביב יפו - אלקחי (בית פרטי שקט)
"8,200 ₪",מיידי,1,דירה,5,רני נכסים,תל אביב יפו - בנימין מטודלה
אוקשן האוס,4,,דירה,"7,500 ₪",(מציאה! חדש מעלית חנ...,תל אביב יפו - קרליבך
"15,000 ₪",מיידי,6,דירה,5,IDAN SHALEV,תל אביב יפו - יבנה (מיקום מושלם)
